1|AGO|Angola
2|ALB|Albania
3|AND|Andorra
4|ARE|United Arab Emirates
5|ARG|Argentina
6|ARM|Armenia
7|ATG|Antigua and Barbuda
8|AUS|Australia
9|AUT|Austria
10|AZE|Azerbaijan
11|BDI|Burundi
12|BEL|Belgium
13|BEN|Benin
14|BFA|Burkina Faso
15|BGD|Bangladesh
16|BGR|Bulgaria
17|BHR|Bahrain
18|BHS|Bahamas
19|BIH|Bosnia and Herzegovina
20|BLR|Belarus
21|BLZ|Belize
22|BOL|Bolivia
23|BRA|Brazil
24|BRB|Barbados
25|BRN|Brunei Darussalam
26|BTN|Bhutan
27|BWA|Botswana
28|CAF|Central African Republic
29|CAN|Canada
30|CHE|Switzerland
31|CHL|Chile
32|CHN|China
33|CIV|Cote d'Ivoire
34|CMR|Cameroon
35|COD|Democratic Republic of the Congo
36|COG|Congo
37|COK|Cook Islands
38|COL|Colombia
39|COM|Comoros
40|CPV|Cabo Verde
41|CRI|Costa Rica
42|CUB|Cuba
43|CYP|Cyprus
44|CZE|Czech Republic
45|DEU|Germany
46|DJI|Djibouti
47|DNK|Denmark
48|DOM|Dominican Republic
49|DZA|Algeria
50|ECU|Ecuador
51|EGY|Egypt
52|ERI|Eritrea
53|ESP|Spain
54|EST|Estonia
55|ETH|Ethiopia
56|FIN|Finland
57|FJI|Fiji
58|FRA|France
59|FSM|Micronesia
60|GAB|Gabon
61|GBR|United Kingdom of Great Britain and Northern Ireland
62|GEO|Georgia
63|GHA|Ghana
64|GIN|Guinea
65|GMB|Gambia
66|GNB|Guinea-Bissau
67|GNQ|Equatorial Guinea
68|GRC|Greece
69|GRD|Grenada
70|GTM|Guatemala
71|GUY|Guyana
72|HND|Honduras
73|HRV|Croatia
74|HTI|Haiti
75|HUN|Hungary
76|IDN|Indonesia
77|IND|India
78|IRL|Ireland
79|IRN|Iran
80|ISL|Iceland
81|ISR|Israel
82|ITA|Italy
83|JAM|Jamaica
84|JOR|Jordan
85|JPN|Japan
86|KAZ|Kazakhstan
87|KEN|Kenya
88|KGZ|Kyrgyzstan
89|KHM|Cambodia
90|KNA|Saint Kitts and Nevis
91|KOR|Republic of Korea
92|KWT|Kuwait
93|LAO|Lao People's Democratic Republic
94|LBN|Lebanon
95|LBR|Liberia
96|LBY|Libya
97|LCA|Saint Lucia
98|LKA|Sri Lanka
99|LSO|Lesotho
100|LTU|Lithuania
101|LUX|Luxembourg
102|LVA|Latvia
103|MAR|Morocco
104|MCO|Monaco
105|MDA|Republic of Moldova
106|MDG|Madagascar
107|MDV|Maldives
108|MEX|Mexico
109|MHL|Marshall Islands
110|MKD|The former Yugoslav Republic of Macedonia
111|MLI|Mali
112|MLT|Malta
113|MMR|Myanmar
114|MNE|Montenegro
115|MNG|Mongolia
116|MOZ|Mozambique
117|MRT|Mauritania
118|MUS|Mauritius
119|MWI|Malawi
120|MYS|Malaysia
121|NAM|Namibia
122|NER|Niger
123|NGA|Nigeria
124|NIC|Nicaragua
125|NLD|Netherlands
126|NOR|Norway
127|NPL|Nepal
128|NRU|Nauru
129|NZL|New Zealand
130|OMN|Oman
131|PAK|Pakistan
132|PAN|Panama
133|PER|Peru
134|PHL|Philippines
135|PLW|Palau
136|PNG|Papua New Guinea
137|POL|Poland
138|PRK|Democratic People's Republic of Korea
139|PRT|Portugal
140|PRY|Paraguay
141|QAT|Qatar
142|ROU|Romania
143|RUS|Russian Federation
144|RWA|Rwanda
145|SAU|Saudi Arabia
146|SDN|Sudan
147|SEN|Senegal
148|SGP|Singapore
149|SLB|Solomon Islands
150|SLE|Sierra Leone
151|SLV|El Salvador
152|SMR|San Marino
153|SRB|Serbia
154|STP|Sao Tome and Principe
155|SUR|Suriname
156|SVK|Slovakia
157|SVN|Slovenia
158|SWE|Sweden
159|SWZ|Swaziland
160|SYC|Seychelles
161|SYR|Syrian Arab Republic
162|TCD|Chad
163|TGO|Togo
164|THA|Thailand
165|TJK|Tajikistan
166|TKM|Turkmenistan
167|TLS|Timor-Leste
168|TON|Tonga
169|TTO|Trinidad and Tobago
170|TUN|Tunisia
171|TUR|Turkey
172|TZA|United Republic of Tanzania
173|UGA|Uganda
174|UKR|Ukraine
175|URY|Uruguay
176|USA|United States of America
177|UZB|Uzbekistan
178|VCT|Saint Vincent and the Grenadines
179|VEN|Venezuela
180|VNM|Viet Nam
181|VUT|Vanuatu
182|WSM|Samoa
183|ZAF|South Africa
184|ZMB|Zambia
185|ZWE|Zimbabwe
